Freq,A_tsys
950,9.3 
955,9.3 
960,9.3 
965,9.3 
970,9.3 
975,9.3 
980,9.3 
985,9.5 
990,9.5 
995,9.5 
1000,9.6
1005,9.6
1010,9.6
1015,9.6
1020,9.7
1025,9.7
1030,9.7
1035,9.7
1040,9.7
1045,9.7
1050,9.7
1055,9.7
1060,9.8
1065,9.8
1070,9.8
1075,9.8
1080,9.8
1085,9.8
1090,9.8
1095,9.9
1100,9.9
1105,9.9
1110,9.9
1115,9.9
1120,9.9
1125,9.9
1130,9.9
1135,9.9
1140,9.9
1145,9.9
1150,9.9
1155,9.9
1160,9.9
1165,9.9
1170,9.9
1175,10.0
1180,10.0
1185,10.0
1190,10.0
1195,10.0
1200,10.0
1205,10.0
1210,10.0
1215,10.0
1220,10.0
1225,10.0
1230,10.0
1235,10.1
1240,10.1
1245,10.1
1250,10.1
1255,10.1
1260,10.0
1265,10.1
1270,10.1
1275,10.1
1280,10.1
1285,10.1
1290,10.1
1295,10.1
1300,10.1
1305,10.1
1310,10.1
1315,10.1
1320,10.1
1325,10.1
1330,10.1
1335,10.1
1340,10.1
1345,10.1
1350,10.1
1355,10.1
1360,10.1
1365,10.1
1370,10.1
1375,10.1
1380,10.1
1385,10.1
1390,10.1
1395,10.1
1400,10.1
1405,10.1
1410,10.1
1415,10.1
1420,10.1
1425,10.1
1430,10.1
1435,10.1
1440,10.1
1445,10.1
1450,10.1
1455,10.1
1460,10.1
1465,10.1
1470,10.1
1475,10.2
1480,10.2
1485,10.2
1490,10.2
1495,10.2
1500,10.2
1505,10.2
1510,10.2
1515,10.2
1520,10.2
1525,10.2
1530,10.2
1535,10.2
1540,10.2
1545,10.2
1550,10.3
1555,10.3
1560,10.3
1565,10.3
1570,10.3
1575,10.3
1580,10.3
1585,10.3
1590,10.3
1595,10.3
1600,10.3
1605,10.3
1610,10.3
1615,10.3
1620,10.3
1625,10.3
1630,10.3
1635,10.3
1640,10.3
1645,10.3
1650,10.3
1655,10.3
1660,10.3
1665,10.3
1670,10.3
1675,10.3
1680,10.3
1685,10.3
1690,10.3
1695,10.3
1700,10.3
1705,10.3
1710,10.3
1715,10.3
1720,10.2
1725,10.2
1730,10.2
1735,10.2
1740,10.2
1745,10.1
1750,10.1
1755,10.0
1760,9.9
